image_path,target,gender,skin_tone
images\sample_00090_mst1_female_t0.jpg,0,Female,1
images\sample_00091_mst2_female_t1.jpg,1,Female,2
images\sample_00092_mst3_female_t0.jpg,0,Female,3
images\sample_00093_mst4_female_t1.jpg,1,Female,4
images\sample_00094_mst5_female_t0.jpg,0,Female,5
images\sample_00095_mst6_female_t1.jpg,1,Female,6
images\sample_00096_mst7_female_t0.jpg,0,Female,7
images\sample_00097_mst8_female_t1.jpg,1,Female,8
images\sample_00098_mst9_female_t0.jpg,0,Female,9
images\sample_00099_mst10_female_t1.jpg,1,Female,10
